Homolog.gene.primaryIdentifier,Homolog.gene.organism.shortName,Homolog.ortholog_gene.primaryIdentifier,Homolog.ortholog_gene.organism.shortName,Homolog.relationship
Potri.011G122000,P. trichocarpa,AT4G27460,A. thaliana,many-to-many
Potri.011G122000,P. trichocarpa,AT5G53750,A. thaliana,many-to-many
Potri.011G122100,P. trichocarpa,AT4G27450,A. thaliana,many-to-one
Potri.011G122200,P. trichocarpa,AT1G52930,A. thaliana,many-to-many
Potri.011G122200,P. trichocarpa,AT3G15460,A. thaliana,many-to-many
Potri.011G122400,P. trichocarpa,AT4G27440,A. thaliana,many-to-many
Potri.011G122400,P. trichocarpa,AT5G54190,A. thaliana,many-to-many
Potri.011G122500,P. trichocarpa,AT3G15470,A. thaliana,many-to-one
Potri.011G122700,P. trichocarpa,AT1G52910,A. thaliana,many-to-many
Potri.011G122700,P. trichocarpa,AT3G15480,A. thaliana,many-to-many
Potri.011G122900,P. trichocarpa,AT4G27430,A. thaliana,many-to-one
Potri.011G123100,P. trichocarpa,AT1G52900,A. thaliana,many-to-one
Potri.011G123200,P. trichocarpa,AT4G27420,A. thaliana,many-to-one
Potri.011G123300,P. trichocarpa,AT4G27410,A. thaliana,many-to-one
Potri.011G123500,P. trichocarpa,AT3G15510,A. thaliana,many-to-one
Potri.011G123600,P. trichocarpa,AT3G15518,A. thaliana,many-to-one
Potri.011G123700,P. trichocarpa,AT1G52870,A. thaliana,many-to-one
Potri.011G123900,P. trichocarpa,AT5G54440,A. thaliana,one-to-one
Potri.011G124600,P. trichocarpa,AT3G15530,A. thaliana,many-to-one
Potri.011G124700,P. trichocarpa,AT5G54390,A. thaliana,many-to-one
Potri.011G124800,P. trichocarpa,AT1G52855,A. thaliana,many-to-one
Potri.011G125500,P. trichocarpa,AT4G27320,A. thaliana,many-to-many
Potri.011G125500,P. trichocarpa,AT5G54430,A. thaliana,many-to-many
Potri.011G125600,P. trichocarpa,AT4G27330,A. thaliana,many-to-one
Potri.011G125700,P. trichocarpa,AT4G27340,A. thaliana,one-to-one
Potri.011G125800,P. trichocarpa,AT3G20630,A. thaliana,many-to-one
Potri.011G126200,P. trichocarpa,AT5G54110,A. thaliana,many-to-one
Potri.011G126300,P. trichocarpa,AT4G27350,A. thaliana,one-to-many
Potri.011G126300,P. trichocarpa,AT5G54240,A. thaliana,one-to-many
Potri.011G126400,P. trichocarpa,AT4G27360,A. thaliana,many-to-one
Potri.011G126800,P. trichocarpa,AT5G54280,A. thaliana,many-to-one
Potri.011G127000,P. trichocarpa,AT5G54310,A. thaliana,many-to-one
Potri.011G127600,P. trichocarpa,AT3G13682,A. thaliana,one-to-one
Potri.011G127900,P. trichocarpa,AT4G27400,A. thaliana,one-to-many
Potri.011G127900,P. trichocarpa,AT5G54370,A. thaliana,one-to-many
Potri.011G128000,P. trichocarpa,AT5G54380,A. thaliana,many-to-one
Potri.011G128100,P. trichocarpa,AT1G52855,A. thaliana,many-to-one
Potri.011G128200,P. trichocarpa,AT5G54390,A. thaliana,many-to-one
Potri.011G128300,P. trichocarpa,AT3G15530,A. thaliana,many-to-one
Potri.011G129100,P. trichocarpa,AT4G27280,A. thaliana,many-to-many
Potri.011G129100,P. trichocarpa,AT5G54490,A. thaliana,many-to-many
Potri.011G129400,P. trichocarpa,AT4G27270,A. thaliana,many-to-one
Potri.011G129500,P. trichocarpa,AT3G20640,A. thaliana,many-to-one
Potri.011G129700,P. trichocarpa,AT4G27260,A. thaliana,many-to-many
Potri.011G129700,P. trichocarpa,AT5G54510,A. thaliana,many-to-many
Potri.011G129900,P. trichocarpa,AT5G54530,A. thaliana,many-to-one
Potri.011G130000,P. trichocarpa,AT5G54540,A. thaliana,many-to-one
Potri.011G130100,P. trichocarpa,AT3G20650,A. thaliana,one-to-one
Potri.011G130300,P. trichocarpa,AT5G54580,A. thaliana,many-to-one
Potri.011G130400,P. trichocarpa,AT5G54585,A. thaliana,many-to-one
Potri.011G130500,P. trichocarpa,AT3G20660,A. thaliana,many-to-one
Potri.011G131200,P. trichocarpa,AT5G54590,A. thaliana,many-to-one
Potri.011G131300,P. trichocarpa,AT4G27240,A. thaliana,many-to-many
Potri.011G131300,P. trichocarpa,AT5G54630,A. thaliana,many-to-many
Potri.011G131400,P. trichocarpa,AT1G51060,A. thaliana,many-to-one
Potri.011G131500,P. trichocarpa,AT4G38070,A. thaliana,many-to-one
Potri.011G131700,P. trichocarpa,AT5G54650,A. thaliana,many-to-one
Potri.011G131800,P. trichocarpa,AT5G54660,A. thaliana,many-to-one
Potri.011G131900,P. trichocarpa,AT4G27180,A. thaliana,many-to-many
Potri.011G131900,P. trichocarpa,AT5G54670,A. thaliana,many-to-many
Potri.011G132400,P. trichocarpa,AT5G54680,A. thaliana,many-to-one
Potri.011G132500,P. trichocarpa,AT3G20680,A. thaliana,one-to-one
Potri.011G132600,P. trichocarpa,AT5G54690,A. thaliana,many-to-one
Potri.011G132700,P. trichocarpa,AT5G54730,A. thaliana,many-to-one
Potri.011G132800,P. trichocarpa,AT3G20720,A. thaliana,many-to-one
Potri.011G132900,P. trichocarpa,AT1G51100,A. thaliana,one-to-one
Potri.011G133100,P. trichocarpa,AT4G04790,A. thaliana,many-to-many
Potri.011G133100,P. trichocarpa,AT4G21880,A. thaliana,many-to-many
Potri.011G133300,P. trichocarpa,AT1G03670,A. thaliana,many-to-many
Potri.011G133300,P. trichocarpa,AT4G03440,A. thaliana,many-to-many
Potri.011G133300,P. trichocarpa,AT4G03450,A. thaliana,many-to-many
Potri.011G133300,P. trichocarpa,AT4G03460,A. thaliana,many-to-many
Potri.011G133300,P. trichocarpa,AT4G03470,A. thaliana,many-to-many
Potri.011G133300,P. trichocarpa,AT4G03480,A. thaliana,many-to-many
Potri.011G133300,P. trichocarpa,AT4G03490,A. thaliana,many-to-many
Potri.011G133300,P. trichocarpa,AT4G03500,A. thaliana,many-to-many
Potri.011G133300,P. trichocarpa,AT4G05040,A. thaliana,many-to-many
Potri.011G133300,P. trichocarpa,AT4G14390,A. thaliana,many-to-many
Potri.011G133300,P. trichocarpa,AT4G14400,A. thaliana,many-to-many
Potri.011G133400,P. trichocarpa,AT1G03670,A. thaliana,many-to-many
Potri.011G133400,P. trichocarpa,AT4G03440,A. thaliana,many-to-many
Potri.011G133400,P. trichocarpa,AT4G03450,A. thaliana,many-to-many
Potri.011G133400,P. trichocarpa,AT4G03460,A. thaliana,many-to-many
Potri.011G133400,P. trichocarpa,AT4G03470,A. thaliana,many-to-many
Potri.011G133400,P. trichocarpa,AT4G03480,A. thaliana,many-to-many
Potri.011G133400,P. trichocarpa,AT4G03490,A. thaliana,many-to-many
Potri.011G133400,P. trichocarpa,AT4G03500,A. thaliana,many-to-many
Potri.011G133400,P. trichocarpa,AT4G05040,A. thaliana,many-to-many
Potri.011G133400,P. trichocarpa,AT4G14390,A. thaliana,many-to-many
Potri.011G133400,P. trichocarpa,AT4G14400,A. thaliana,many-to-many
Potri.011G133700,P. trichocarpa,AT1G03670,A. thaliana,many-to-many
Potri.011G133700,P. trichocarpa,AT4G03440,A. thaliana,many-to-many
Potri.011G133700,P. trichocarpa,AT4G03450,A. thaliana,many-to-many
Potri.011G133700,P. trichocarpa,AT4G03460,A. thaliana,many-to-many
Potri.011G133700,P. trichocarpa,AT4G03470,A. thaliana,many-to-many
Potri.011G133700,P. trichocarpa,AT4G03480,A. thaliana,many-to-many
Potri.011G133700,P. trichocarpa,AT4G03490,A. thaliana,many-to-many
Potri.011G133700,P. trichocarpa,AT4G03500,A. thaliana,many-to-many
Potri.011G133700,P. trichocarpa,AT4G05040,A. thaliana,many-to-many
Potri.011G133700,P. trichocarpa,AT4G14390,A. thaliana,many-to-many
Potri.011G133700,P. trichocarpa,AT4G14400,A. thaliana,many-to-many
Potri.011G133900,P. trichocarpa,AT3G20590,A. thaliana,many-to-many
Potri.011G133900,P. trichocarpa,AT3G20600,A. thaliana,many-to-many
Potri.011G133900,P. trichocarpa,AT3G20610,A. thaliana,many-to-many
Potri.011G134200,P. trichocarpa,AT4G05320,A. thaliana,one-to-one
Potri.011G134600,P. trichocarpa,AT4G27140,A. thaliana,one-to-many
Potri.011G134600,P. trichocarpa,AT4G27150,A. thaliana,one-to-many
Potri.011G134600,P. trichocarpa,AT4G27160,A. thaliana,one-to-many
Potri.011G134600,P. trichocarpa,AT4G27170,A. thaliana,one-to-many
Potri.011G134600,P. trichocarpa,AT5G54740,A. thaliana,one-to-many
Potri.011G134700,P. trichocarpa,AT1G54290,A. thaliana,many-to-many
Potri.011G134700,P. trichocarpa,AT4G27130,A. thaliana,many-to-many
Potri.011G134700,P. trichocarpa,AT5G54760,A. thaliana,many-to-many
Potri.011G134900,P. trichocarpa,AT5G54770,A. thaliana,many-to-one
Potri.011G135200,P. trichocarpa,AT3G20580,A. thaliana,many-to-many
Potri.011G135200,P. trichocarpa,AT4G27110,A. thaliana,many-to-many
Potri.011G135300,P. trichocarpa,AT4G27100,A. thaliana,many-to-many
Potri.011G135300,P. trichocarpa,AT5G54780,A. thaliana,many-to-many
Potri.011G135400,P. trichocarpa,AT3G20570,A. thaliana,many-to-one
Potri.011G135500,P. trichocarpa,AT3G20560,A. thaliana,many-to-one
Potri.011G135600,P. trichocarpa,AT1G50940,A. thaliana,one-to-one
Potri.011G135700,P. trichocarpa,AT5G54790,A. thaliana,many-to-one
Potri.011G135800,P. trichocarpa,AT3G15160,A. thaliana,one-to-one
Potri.011G135900,P. trichocarpa,AT5G54800,A. thaliana,many-to-one
Potri.011G136000,P. trichocarpa,AT4G27070,A. thaliana,many-to-many
Potri.011G136000,P. trichocarpa,AT5G54810,A. thaliana,many-to-many
Potri.011G136200,P. trichocarpa,AT1G56400,A. thaliana,many-to-many
Potri.011G136200,P. trichocarpa,AT3G29830,A. thaliana,many-to-many
Potri.011G136200,P. trichocarpa,AT3G62230,A. thaliana,many-to-many
Potri.011G136200,P. trichocarpa,AT5G54820,A. thaliana,many-to-many
Potri.011G136300,P. trichocarpa,AT5G54840,A. thaliana,many-to-one
Potri.011G136400,P. trichocarpa,AT1G50910,A. thaliana,one-to-one
Potri.011G136500,P. trichocarpa,AT4G21780,A. thaliana,many-to-one
Potri.011G136600,P. trichocarpa,AT5G54850,A. thaliana,many-to-one
Potri.011G136700,P. trichocarpa,AT4G27060,A. thaliana,many-to-one
Potri.011G136900,P. trichocarpa,AT1G50840,A. thaliana,many-to-many
Potri.011G136900,P. trichocarpa,AT3G20540,A. thaliana,many-to-many
Potri.011G137000,P. trichocarpa,AT3G20530,A. thaliana,many-to-one
Potri.011G137100,P. trichocarpa,AT5G54855,A. thaliana,one-to-one
Potri.011G137300,P. trichocarpa,AT5G54860,A. thaliana,many-to-one
Potri.011G137400,P. trichocarpa,AT5G54860,A. thaliana,many-to-one
Potri.011G137700,P. trichocarpa,AT4G27020,A. thaliana,many-to-many
Potri.011G137700,P. trichocarpa,AT5G54870,A. thaliana,many-to-many
Potri.011G137900,P. trichocarpa,AT5G36130,A. thaliana,many-to-one
Potri.011G138100,P. trichocarpa,AT1G50740,A. thaliana,many-to-many
Potri.011G138100,P. trichocarpa,AT3G20510,A. thaliana,many-to-many
Potri.011G138200,P. trichocarpa,AT3G20500,A. thaliana,many-to-one
Potri.011G138400,P. trichocarpa,AT4G27000,A. thaliana,many-to-one
Potri.011G138500,P. trichocarpa,AT3G28210,A. thaliana,one-to-one
Potri.011G138600,P. trichocarpa,AT4G26990,A. thaliana,many-to-many
Potri.011G138600,P. trichocarpa,AT5G54920,A. thaliana,many-to-many
Potri.011G138700,P. trichocarpa,AT5G54930,A. thaliana,many-to-one
Potri.011G139000,P. trichocarpa,AT1G05930,A. thaliana,many-to-many
Potri.011G139000,P. trichocarpa,AT1G32030,A. thaliana,many-to-many
Potri.011G139000,P. trichocarpa,AT2G18810,A. thaliana,many-to-many
Potri.011G139000,P. trichocarpa,AT2G24670,A. thaliana,many-to-many
Potri.011G139000,P. trichocarpa,AT2G27410,A. thaliana,many-to-many
Potri.011G139000,P. trichocarpa,AT2G31720,A. thaliana,many-to-many
Potri.011G139000,P. trichocarpa,AT3G24850,A. thaliana,many-to-many
Potri.011G139000,P. trichocarpa,AT3G49610,A. thaliana,many-to-many
Potri.011G139000,P. trichocarpa,AT5G24050,A. thaliana,many-to-many
Potri.011G139000,P. trichocarpa,AT5G38490,A. thaliana,many-to-many
Potri.011G139000,P. trichocarpa,AT5G38500,A. thaliana,many-to-many
Potri.011G139200,P. trichocarpa,AT3G20490,A. thaliana,one-to-one
Potri.011G139300,P. trichocarpa,AT2G38130,A. thaliana,many-to-one
Potri.011G139500,P. trichocarpa,AT1G50670,A. thaliana,many-to-one
Potri.011G139600,P. trichocarpa,AT3G20390,A. thaliana,many-to-one
Potri.011G139700,P. trichocarpa,AT1G17230,A. thaliana,one-to-one
Potri.011G139800,P. trichocarpa,AT1G53700,A. thaliana,many-to-many
Potri.011G139800,P. trichocarpa,AT3G14370,A. thaliana,many-to-many
Potri.011G139900,P. trichocarpa,AT1G72280,A. thaliana,many-to-one
Potri.011G140000,P. trichocarpa,AT1G72250,A. thaliana,many-to-one
Potri.011G140100,P. trichocarpa,AT1G17220,A. thaliana,many-to-one
Potri.011G140200,P. trichocarpa,AT1G17200,A. thaliana,many-to-one
Potri.011G140300,P. trichocarpa,AT3G18510,A. thaliana,one-to-one
Potri.011G140400,P. trichocarpa,AT1G17180,A. thaliana,many-to-many
Potri.011G140400,P. trichocarpa,AT1G78340,A. thaliana,many-to-many
Potri.011G140400,P. trichocarpa,AT1G78360,A. thaliana,many-to-many
Potri.011G140400,P. trichocarpa,AT1G78370,A. thaliana,many-to-many
Potri.011G140400,P. trichocarpa,AT1G78380,A. thaliana,many-to-many
Potri.011G140700,P. trichocarpa,AT1G17180,A. thaliana,many-to-many
Potri.011G140700,P. trichocarpa,AT1G78340,A. thaliana,many-to-many
Potri.011G140700,P. trichocarpa,AT1G78360,A. thaliana,many-to-many
Potri.011G140700,P. trichocarpa,AT1G78370,A. thaliana,many-to-many
Potri.011G140700,P. trichocarpa,AT1G78380,A. thaliana,many-to-many
Potri.011G140800,P. trichocarpa,AT1G17180,A. thaliana,many-to-many
Potri.011G140800,P. trichocarpa,AT1G78340,A. thaliana,many-to-many
Potri.011G140800,P. trichocarpa,AT1G78360,A. thaliana,many-to-many
Potri.011G140800,P. trichocarpa,AT1G78370,A. thaliana,many-to-many
Potri.011G140800,P. trichocarpa,AT1G78380,A. thaliana,many-to-many
Potri.011G141200,P. trichocarpa,AT3G15150,A. thaliana,one-to-one
Potri.011G141300,P. trichocarpa,AT3G15140,A. thaliana,one-to-one
Potri.011G141400,P. trichocarpa,AT3G15120,A. thaliana,one-to-one
Potri.011G141500,P. trichocarpa,AT5G25030,A. thaliana,many-to-many
Potri.011G141500,P. trichocarpa,AT5G56060,A. thaliana,many-to-many
Potri.011G141500,P. trichocarpa,AT5G56075,A. thaliana,many-to-many
Potri.011G141700,P. trichocarpa,AT5G25030,A. thaliana,many-to-many
Potri.011G141700,P. trichocarpa,AT5G56060,A. thaliana,many-to-many
Potri.011G141700,P. trichocarpa,AT5G56075,A. thaliana,many-to-many
Potri.011G141900,P. trichocarpa,AT5G25030,A. thaliana,many-to-many
Potri.011G141900,P. trichocarpa,AT5G56060,A. thaliana,many-to-many
Potri.011G141900,P. trichocarpa,AT5G56075,A. thaliana,many-to-many
Potri.011G142000,P. trichocarpa,AT1G16680,A. thaliana,many-to-many
Potri.011G142000,P. trichocarpa,AT1G79030,A. thaliana,many-to-many
Potri.011G142100,P. trichocarpa,AT1G16670,A. thaliana,many-to-one
Potri.011G142200,P. trichocarpa,AT1G79040,A. thaliana,many-to-one
Potri.011G142700,P. trichocarpa,AT3G12920,A. thaliana,many-to-one
Potri.011G142900,P. trichocarpa,AT3G12930,A. thaliana,many-to-one
Potri.011G143000,P. trichocarpa,AT3G12940,A. thaliana,one-to-one
Potri.011G143100,P. trichocarpa,AT1G16610,A. thaliana,one-to-one
Potri.011G143300,P. trichocarpa,AT3G03060,A. thaliana,many-to-many
Potri.011G143300,P. trichocarpa,AT5G16930,A. thaliana,many-to-many
Potri.011G143400,P. trichocarpa,AT3G12955,A. thaliana,many-to-one
Potri.011G143900,P. trichocarpa,AT1G79090,A. thaliana,many-to-one
Potri.011G144300,P. trichocarpa,AT1G79080,A. thaliana,many-to-one
Potri.011G144400,P. trichocarpa,AT1G79070,A. thaliana,many-to-one
Potri.011G144700,P. trichocarpa,AT5G65950,A. thaliana,one-to-one
Potri.011G144800,P. trichocarpa,AT5G41010,A. thaliana,one-to-one
Potri.011G144900,P. trichocarpa,AT1G13680,A. thaliana,many-to-one
Potri.011G145100,P. trichocarpa,AT2G17420,A. thaliana,many-to-many
Potri.011G145100,P. trichocarpa,AT4G35460,A. thaliana,many-to-many
Potri.011G145300,P. trichocarpa,AT5G63870,A. thaliana,many-to-one
Potri.011G145900,P. trichocarpa,AT3G51520,A. thaliana,one-to-one
Potri.011G146200,P. trichocarpa,AT3G51510,A. thaliana,many-to-one
Potri.011G146400,P. trichocarpa,AT3G51500,A. thaliana,one-to-one
Potri.011G146600,P. trichocarpa,AT1G14120,A. thaliana,many-to-many
Potri.011G146600,P. trichocarpa,AT1G14130,A. thaliana,many-to-many
Potri.011G146700,P. trichocarpa,AT5G65930,A. thaliana,many-to-one
Potri.011G146800,P. trichocarpa,AT1G78690,A. thaliana,one-to-one
Potri.011G146900,P. trichocarpa,AT4G10380,A. thaliana,many-to-one
Potri.011G147000,P. trichocarpa,AT1G33265,A. thaliana,many-to-one
Potri.011G147100,P. trichocarpa,AT1G33260,A. thaliana,many-to-many
Potri.011G147100,P. trichocarpa,AT4G10390,A. thaliana,many-to-many
Potri.011G147300,P. trichocarpa,AT1G33250,A. thaliana,many-to-one
Potri.011G147400,P. trichocarpa,AT1G33240,A. thaliana,many-to-one
Potri.011G147500,P. trichocarpa,AT1G33230,A. thaliana,many-to-many
Potri.011G147500,P. trichocarpa,AT4G10430,A. thaliana,many-to-many
Potri.011G147600,P. trichocarpa,AT1G33170,A. thaliana,many-to-many
Potri.011G147600,P. trichocarpa,AT4G10440,A. thaliana,many-to-many
Potri.011G147700,P. trichocarpa,AT1G33120,A. thaliana,many-to-many
Potri.011G147700,P. trichocarpa,AT1G33140,A. thaliana,many-to-many
Potri.011G147700,P. trichocarpa,AT4G10450,A. thaliana,many-to-many
Potri.011G147900,P. trichocarpa,AT4G17245,A. thaliana,many-to-many
Potri.011G147900,P. trichocarpa,AT5G47610,A. thaliana,many-to-many
Potri.011G148100,P. trichocarpa,AT1G72680,A. thaliana,many-to-one
Potri.011G148200,P. trichocarpa,AT1G72680,A. thaliana,many-to-one
Potri.011G148800,P. trichocarpa,AT1G10390,A. thaliana,many-to-many
Potri.011G148800,P. trichocarpa,AT1G59660,A. thaliana,many-to-many
Potri.011G149000,P. trichocarpa,AT3G30340,A. thaliana,many-to-one
Potri.011G149100,P. trichocarpa,AT1G63310,A. thaliana,many-to-one
Potri.011G149200,P. trichocarpa,AT2G45530,A. thaliana,many-to-one
Potri.011G149300,P. trichocarpa,AT1G33060,A. thaliana,many-to-one
Potri.011G149400,P. trichocarpa,AT1G33055,A. thaliana,many-to-one
Potri.011G149500,P. trichocarpa,AT2G18196,A. thaliana,many-to-one
Potri.011G149800,P. trichocarpa,AT1G61570,A. thaliana,many-to-one
Potri.011G150100,P. trichocarpa,AT4G10490,A. thaliana,many-to-many
Potri.011G150100,P. trichocarpa,AT4G10500,A. thaliana,many-to-many
Potri.011G150700,P. trichocarpa,AT1G32990,A. thaliana,many-to-one
Potri.011G151200,P. trichocarpa,AT1G32940,A. thaliana,one-to-many
Potri.011G151200,P. trichocarpa,AT1G32950,A. thaliana,one-to-many
Potri.011G151200,P. trichocarpa,AT1G32960,A. thaliana,one-to-many
Potri.011G151200,P. trichocarpa,AT4G10510,A. thaliana,one-to-many
Potri.011G151200,P. trichocarpa,AT4G10520,A. thaliana,one-to-many
Potri.011G151200,P. trichocarpa,AT4G10530,A. thaliana,one-to-many
Potri.011G151200,P. trichocarpa,AT4G10540,A. thaliana,one-to-many
Potri.011G151200,P. trichocarpa,AT4G10550,A. thaliana,one-to-many
Potri.011G151400,P. trichocarpa,AT1G32930,A. thaliana,many-to-one
Potri.011G151500,P. trichocarpa,AT1G64720,A. thaliana,many-to-one
Potri.011G151600,P. trichocarpa,AT1G32920,A. thaliana,many-to-many
Potri.011G151600,P. trichocarpa,AT1G32928,A. thaliana,many-to-many
Potri.011G151700,P. trichocarpa,AT3G15850,A. thaliana,many-to-one
Potri.011G151800,P. trichocarpa,AT3G15850,A. thaliana,many-to-one
Potri.011G151900,P. trichocarpa,AT5G42110,A. thaliana,many-to-one
Potri.011G152100,P. trichocarpa,AT3G15850,A. thaliana,many-to-one
Potri.011G152200,P. trichocarpa,AT1G32900,A. thaliana,many-to-one
Potri.011G152400,P. trichocarpa,AT1G32860,A. thaliana,many-to-one
Potri.011G152500,P. trichocarpa,AT1G32850,A. thaliana,many-to-many
Potri.011G152500,P. trichocarpa,AT4G10570,A. thaliana,many-to-many
Potri.011G152500,P. trichocarpa,AT4G10590,A. thaliana,many-to-many
Potri.011G152600,P. trichocarpa,AT1G32810,A. thaliana,many-to-one
Potri.011G152700,P. trichocarpa,AT1G32790,A. thaliana,many-to-many
Potri.011G152700,P. trichocarpa,AT4G10610,A. thaliana,many-to-many
Potri.011G152800,P. trichocarpa,AT1G32780,A. thaliana,many-to-one
Potri.011G152900,P. trichocarpa,AT1G32780,A. thaliana,many-to-one
Potri.011G153000,P. trichocarpa,AT1G64700,A. thaliana,many-to-one
Potri.011G153100,P. trichocarpa,AT1G64700,A. thaliana,many-to-one
Potri.011G153700,P. trichocarpa,AT2G35630,A. thaliana,many-to-one
Potri.011G154000,P. trichocarpa,AT4G19490,A. thaliana,many-to-one
Potri.011G154200,P. trichocarpa,AT5G11720,A. thaliana,many-to-one
Potri.011G154300,P. trichocarpa,AT5G11720,A. thaliana,many-to-one
Potri.011G154500,P. trichocarpa,AT5G11720,A. thaliana,many-to-one
Potri.011G154600,P. trichocarpa,AT2G36840,A. thaliana,many-to-one
Potri.011G154700,P. trichocarpa,AT5G44560,A. thaliana,many-to-one
Potri.011G154800,P. trichocarpa,AT4G20380,A. thaliana,many-to-one
Potri.011G154900,P. trichocarpa,AT4G20390,A. thaliana,many-to-many
Potri.011G154900,P. trichocarpa,AT5G44550,A. thaliana,many-to-many
Potri.011G155100,P. trichocarpa,AT1G30810,A. thaliana,many-to-many
Potri.011G155100,P. trichocarpa,AT2G34880,A. thaliana,many-to-many
Potri.011G155100,P. trichocarpa,AT4G20400,A. thaliana,many-to-many
Potri.011G155200,P. trichocarpa,AT4G20410,A. thaliana,many-to-one
Potri.011G155400,P. trichocarpa,AT4G20430,A. thaliana,many-to-many
Potri.011G155400,P. trichocarpa,AT5G44530,A. thaliana,many-to-many
Potri.011G155500,P. trichocarpa,AT5G44520,A. thaliana,one-to-one
Potri.011G155700,P. trichocarpa,AT4G20440,A. thaliana,many-to-many
Potri.011G155700,P. trichocarpa,AT5G44500,A. thaliana,many-to-many
Potri.011G155800,P. trichocarpa,AT1G30630,A. thaliana,one-to-one
Potri.011G155900,P. trichocarpa,AT1G26380,A. thaliana,many-to-many
Potri.011G155900,P. trichocarpa,AT1G26390,A. thaliana,many-to-many
Potri.011G155900,P. trichocarpa,AT1G26400,A. thaliana,many-to-many
Potri.011G155900,P. trichocarpa,AT1G26410,A. thaliana,many-to-many
Potri.011G155900,P. trichocarpa,AT1G26420,A. thaliana,many-to-many
Potri.011G155900,P. trichocarpa,AT4G20800,A. thaliana,many-to-many
Potri.011G156000,P. trichocarpa,AT1G26380,A. thaliana,many-to-many
Potri.011G156000,P. trichocarpa,AT1G26390,A. thaliana,many-to-many
Potri.011G156000,P. trichocarpa,AT1G26400,A. thaliana,many-to-many
Potri.011G156000,P. trichocarpa,AT1G26410,A. thaliana,many-to-many
Potri.011G156000,P. trichocarpa,AT1G26420,A. thaliana,many-to-many
Potri.011G156000,P. trichocarpa,AT4G20800,A. thaliana,many-to-many
Potri.011G156100,P. trichocarpa,AT1G30620,A. thaliana,many-to-one
Potri.011G156300,P. trichocarpa,AT1G25260,A. thaliana,many-to-one
Potri.011G156400,P. trichocarpa,AT4G21105,A. thaliana,many-to-one
Potri.011G156800,P. trichocarpa,AT4G21300,A. thaliana,one-to-one
Potri.011G156900,P. trichocarpa,AT1G73720,A. thaliana,one-to-one
Potri.011G157100,P. trichocarpa,AT1G30650,A. thaliana,many-to-many
Potri.011G157100,P. trichocarpa,AT2G34830,A. thaliana,many-to-many
Potri.011G157300,P. trichocarpa,AT4G20760,A. thaliana,one-to-one
Potri.011G157500,P. trichocarpa,AT5G44450,A. thaliana,one-to-one
Potri.011G157600,P. trichocarpa,AT4G20790,A. thaliana,one-to-one
Potri.011G157700,P. trichocarpa,AT1G30670,A. thaliana,many-to-many
Potri.011G157700,P. trichocarpa,AT2G34820,A. thaliana,many-to-many
Potri.011G157900,P. trichocarpa,AT4G20820,A. thaliana,many-to-many
Potri.011G157900,P. trichocarpa,AT5G44410,A. thaliana,many-to-many
Potri.011G157900,P. trichocarpa,AT5G44440,A. thaliana,many-to-many
Potri.011G158000,P. trichocarpa,AT4G20820,A. thaliana,many-to-many
Potri.011G158000,P. trichocarpa,AT5G44410,A. thaliana,many-to-many
Potri.011G158000,P. trichocarpa,AT5G44440,A. thaliana,many-to-many
Potri.011G158100,P. trichocarpa,AT4G20820,A. thaliana,many-to-many
Potri.011G158100,P. trichocarpa,AT5G44410,A. thaliana,many-to-many
Potri.011G158100,P. trichocarpa,AT5G44440,A. thaliana,many-to-many
Potri.011G158300,P. trichocarpa,AT1G30700,A. thaliana,many-to-one
Potri.011G158400,P. trichocarpa,AT1G30710,A. thaliana,one-to-many
Potri.011G158400,P. trichocarpa,AT1G34575,A. thaliana,one-to-many
Potri.011G158500,P. trichocarpa,AT1G01980,A. thaliana,many-to-many
Potri.011G158500,P. trichocarpa,AT1G11770,A. thaliana,many-to-many
Potri.011G158500,P. trichocarpa,AT4G20830,A. thaliana,many-to-many
Potri.011G158500,P. trichocarpa,AT4G20840,A. thaliana,many-to-many
Potri.011G158600,P. trichocarpa,AT4G20820,A. thaliana,many-to-many
Potri.011G158600,P. trichocarpa,AT5G44410,A. thaliana,many-to-many
Potri.011G158600,P. trichocarpa,AT5G44440,A. thaliana,many-to-many
Potri.011G158700,P. trichocarpa,AT1G30760,A. thaliana,many-to-many
Potri.011G158700,P. trichocarpa,AT2G34790,A. thaliana,many-to-many
Potri.011G159000,P. trichocarpa,AT1G23460,A. thaliana,many-to-many
Potri.011G159000,P. trichocarpa,AT1G70500,A. thaliana,many-to-many
Potri.011G159100,P. trichocarpa,AT1G30760,A. thaliana,many-to-many
Potri.011G159100,P. trichocarpa,AT2G34790,A. thaliana,many-to-many
Potri.011G159200,P. trichocarpa,AT1G30760,A. thaliana,many-to-many
Potri.011G159200,P. trichocarpa,AT2G34790,A. thaliana,many-to-many
Potri.011G159300,P. trichocarpa,AT1G30760,A. thaliana,many-to-many
Potri.011G159300,P. trichocarpa,AT2G34790,A. thaliana,many-to-many
Potri.011G159600,P. trichocarpa,AT1G30760,A. thaliana,many-to-many
Potri.011G159600,P. trichocarpa,AT2G34790,A. thaliana,many-to-many
Potri.011G159900,P. trichocarpa,AT1G30760,A. thaliana,many-to-many
Potri.011G159900,P. trichocarpa,AT2G34790,A. thaliana,many-to-many
Potri.011G160200,P. trichocarpa,AT1G30760,A. thaliana,many-to-many
Potri.011G160200,P. trichocarpa,AT2G34790,A. thaliana,many-to-many
Potri.011G160300,P. trichocarpa,AT1G30760,A. thaliana,many-to-many
